#fake reviews
Name,Review,Rating,Timestamp
Dylan,Didn't work as expected.,1,2025-04-25T21:18:58.815571
Loretta,Needs improvement in predictions.,2,2025-04-26T01:50:58.815571
Edward,Excellent app!,5,2025-04-30T16:31:58.815571
Jesse,Didn't work as expected.,1,2025-05-12T22:01:58.815571
Kenneth,Excellent app!,5,2025-05-01T22:48:58.815571
Tina,Good tool overall!,4,2025-05-17T16:47:58.815571
Ronald,Good tool overall!,4,2025-05-03T22:40:58.815571
Danielle,Good tool overall!,4,2025-04-21T14:19:58.819566
Laura,Could be better.,2,2025-05-07T19:41:58.819566
Jason,Needs improvement in predictions.,2,2025-05-18T08:21:58.819566
Stephanie,Helpful predictions!,4,2025-05-11T02:44:58.819566
Shane,Useful but not very accurate.,3,2025-04-28T13:08:58.819566
Richard,Very helpful for quick analysis.,5,2025-04-19T05:26:58.819566
Becky,Okay for basic analysis.,3,2025-04-30T21:31:58.820567
Rebecca,Interface was buggy.,1,2025-05-07T05:43:58.820567
Amanda,Good tool overall!,4,2025-04-25T21:22:17.190261
Richard,Nice charts and insights.,4,2025-04-26T01:54:17.190261
Danielle,Impressed with the interface.,4,2025-05-18T05:32:17.190261
Shawn,Nice charts and insights.,4,2025-05-02T10:36:17.190261
Caleb,Impressed with the interface.,4,2025-05-11T15:00:17.190261
Ronald,Excellent app!,5,2025-04-24T23:53:17.190261
Melissa,Very helpful for quick analysis.,5,2025-05-11T01:24:17.190261
Jeffrey,Excellent app!,5,2025-05-16T17:31:17.190261
Cathy,Very helpful for quick analysis.,5,2025-04-29T20:46:17.190261
Brett,Impressed with the interface.,4,2025-05-02T01:38:17.191261
Melanie,Excellent app!,5,2025-05-01T19:44:17.191261
Cynthia,Loved the predictions and charts!,5,2025-04-27T03:35:17.191261
Amy,Helpful predictions!,4,2025-05-16T21:42:17.191261
Ashley,Impressed with the interface.,4,2025-05-10T14:57:17.191261
Debbie,Loved the predictions and charts!,5,2025-05-07T18:24:17.191261
Katelyn,Excellent app!,5,2025-04-29T09:27:17.191261
Ann,Nice charts and insights.,4,2025-05-04T17:20:17.191261
Gregory,Helpful predictions!,4,2025-04-23T04:23:17.191261
Lisa,Helpful predictions!,4,2025-05-06T21:33:17.191261
Julia,Helpful predictions!,4,2025-05-12T09:06:17.191261
Gina,Highly recommended!,5,2025-05-14T21:29:17.192261
Jennifer,Helpful predictions!,4,2025-04-25T11:10:17.192261
